CodeCirco,Département,NumeroCirco,Circonscription,Inscrits,Abstentions,Abstentions_ins,Votants,Votants_ins,Blancs,Blancs_ins,Blancs_vot,Nuls,Nuls_ins,Nuls_vot,Exprimés,Exprimés_ins,Exprimés_vot,LE PEN,MACRON,MÉLENCHON,FILLON,LASSALLE,HAMON,DUPONT-AIGNAN,POUTOU,ASSELINEAU,ARTHAUD,CHEMINADE,LE PEN.ins,MACRON.ins,MÉLENCHON.ins,FILLON.ins,LASSALLE.ins,HAMON.ins,DUPONT-AIGNAN.ins,POUTOU.ins,ASSELINEAU.ins,ARTHAUD.ins,CHEMINADE.ins,LE PEN.exp,MACRON.exp,MÉLENCHON.exp,FILLON.exp,LASSALLE.exp,HAMON.exp,DUPONT-AIGNAN.exp,POUTOU.exp,ASSELINEAU.exp,ARTHAUD.exp,CHEMINADE.exp
7801,Yvelines,01,1ère circonscription,83366,14045,16.8473958208382,69321,83.1526041791618,823,0.9872130124991,1.18723042079601,275,0.32987069068925,0.396705183133538,68223,81.8355204759734,98.4160643960705,6109,20452,9912,22242,432,5332,2355,395,699,181,114,7.32792745243865,24.5327831490056,11.8897392222249,26.6799414629465,0.518196866828203,6.39589281001847,2.8248926420843,0.473814264808195,0.838471319242857,0.217114890962743,0.136746395412998,8.95445817392961,29.9781598581124,14.5288245899477,32.6019084472978,0.633217536607889,7.81554607683626,3.45191504331384,0.578983627222491,1.0245811529836,0.265306421588028,0.167099072160415
7802,Yvelines,02,2ème circonscription,85323,12847,15.0569014216565,72476,84.9430985783435,897,1.05129918076017,1.23765108449694,298,0.349261043329466,0.411170594403665,71281,83.5425383542538,98.3511783210994,7546,23015,9737,21371,546,4627,3028,407,651,209,144,8.84403970793338,26.9739695041196,11.4119287882517,25.047173681188,0.639921240462712,5.42292230699811,3.54886724564303,0.477010888037223,0.762983017474772,0.244951537100196,0.168770437045111,10.5862712363744,32.2877064014253,13.6600216046352,29.9813414514387,0.765982519886085,6.49121084159874,4.24797631907521,0.570979643944389,0.913286850633409,0.293205763106578,0.202017367882044
7803,Yvelines,03,3ème circonscription,83492,14528,17.4004695060605,68964,82.5995304939396,716,0.857567192066306,1.0382228409025,279,0.334163752215781,0.404558900295806,67969,81.4077995496575,98.5572182588017,6157,20029,7693,26525,416,3738,2293,367,479,174,98,7.37435922004504,23.9891247065587,9.21405643654482,31.7695108513391,0.498251329468692,4.47707564796627,2.74637090978776,0.439563071911081,0.573707660614191,0.208403200306616,0.117376515115221,9.05854139387074,29.4678456355103,11.3183951507305,39.025143815563,0.612043725816181,5.4995659786079,3.37359678677044,0.539952036958025,0.704733040062381,0.255999058394268,0.144183377716312
7804,Yvelines,04,4ème circonscription,78395,13039,16.6324382932585,65356,83.3675617067415,800,1.02047324446712,1.2240651202644,280,0.357165635563493,0.428422792092539,64276,81.9899228267109,98.3475120876431,5985,21680,8900,19504,405,4159,2439,355,575,178,96,7.63441546016965,27.654824925059,11.3527648446967,24.8791377001084,0.51661458001148,5.30518527967345,3.11116780406914,0.452835002232285,0.733465144460744,0.227055296893935,0.122456789336055,9.3114070570664,33.7295413529156,13.8465368100068,30.3441408924015,0.630095214387952,6.47053332503578,3.794573402203,0.552305681747464,0.894579625365611,0.276930736200137,0.149355902669737
7805,Yvelines,05,5ème circonscription,73673,14284,19.3883783747099,59389,80.6116216252901,703,0.95421660581217,1.1837208910741,264,0.358340233192622,0.444526764215595,58422,79.2990647862854,98.3717523447103,5744,18526,8946,18103,337,3577,1988,374,543,184,100,7.79661477067583,25.1462543944186,12.1428474475045,24.5720956116895,0.457426737067854,4.85523868988639,2.69841054388989,0.507648663689547,0.737040706907551,0.249752283740312,0.135734936815387,9.83191263565095,31.7106569443018,15.3127246585191,30.9866146314744,0.576837492725343,6.12269350587108,3.40282770189312,0.640169799048304,0.929444387388313,0.314949847660128,0.171168395467461
7806,Yvelines,06,6ème circonscription,75762,15632,20.6330350307542,60130,79.3669649692458,773,1.0203004144558,1.28554797937801,281,0.370898339536971,0.467320804922668,59076,77.975766215253,98.2471312156993,6195,18244,8988,18440,398,3420,2106,395,597,188,105,8.17692246772788,24.0806736886566,11.8634671735171,24.3393785802909,0.525329320767667,4.51413637443573,2.77975766215253,0.521369552018162,0.787993981151501,0.248145508302315,0.138591906232676,10.4864919764371,30.8822533685422,15.214300223441,31.2140293858758,0.673708443361094,5.78915295551493,3.56489945155393,0.668630239014151,1.01056266504164,0.31823413907509,0.177737152143002
7807,Yvelines,07,7ème circonscription,80529,16113,20.0089408784413,64416,79.9910591215587,1007,1.25048119311056,1.56327620466965,334,0.414757416582846,0.518504719324391,63075,78.3258205118653,97.918219076006,9850,17945,11761,13663,528,4552,3113,549,700,306,108,12.2316184231767,22.2838977262849,14.6046765761403,16.9665586310522,0.65566441902917,5.65262203678178,3.86568813719281,0.681741981149648,0.869252070682611,0.379987333755541,0.134113176619603,15.6163297661514,28.4502576298058,18.6460562822037,21.6615140705509,0.837098692033294,7.21680539040824,4.93539437177963,0.870392390011891,1.1097899326199,0.485136741973841,0.171224732461356
7808,Yvelines,08,8ème circonscription,73760,17929,24.3072125813449,55831,75.6927874186551,1058,1.43438177874187,1.89500456735505,418,0.566702819956616,0.748688004871845,54355,73.6917028199566,97.3563074277731,11838,11864,14322,7901,406,3514,2613,586,858,337,116,16.0493492407809,16.0845986984816,19.4170281995662,10.7117678958785,0.550433839479393,4.76409978308026,3.5425704989154,0.794468546637744,1.16323210412148,0.456887201735358,0.157266811279826,21.7790451660381,21.8268788519915,26.349001931745,14.5359212583939,0.746941403734707,6.46490663232453,4.80728543832214,1.07809769110477,1.57851163646399,0.619998160242848,0.213411829638488
7809,Yvelines,09,9ème circonscription,90878,17307,19.0442131208873,73571,80.9557868791127,1288,1.41728471137129,1.75068980984355,485,0.533682519421642,0.659227141128977,71798,79.0048196483197,97.5900830490275,15110,16860,13519,15352,559,4209,4074,632,927,421,135,16.6266863267237,18.5523449019565,14.875987587755,16.8929773982702,0.615110367745769,4.63148396751689,4.48293316314179,0.695437839741191,1.02004885670899,0.46325843438456,0.148550804375096,21.0451544611271,23.4825482603972,18.8292152984763,21.3822112036547,0.77857321930973,5.86228028635895,5.67425276470097,0.880247360650715,1.29112231538483,0.586367308281568,0.188027521657985
7810,Yvelines,10,10ème circonscription,88776,13933,15.6945570875011,74843,84.3054429124989,1039,1.17036135892584,1.38823938110445,370,0.416779309723349,0.494368210787916,73434,82.7183022438497,98.1173924081076,10322,20483,11482,19875,597,5058,3892,516,780,282,147,11.6270163107146,23.0726773001712,12.9336757682256,22.3878075155447,0.672479048391457,5.69748580697486,4.3840677660629,0.581238172479048,0.878615842119492,0.317653419843201,0.16558529332252,14.0561592722717,27.893074052891,15.6358090257919,27.0651196993218,0.812974916251328,6.88781763215949,5.29999727646594,0.702671786910695,1.06217828253942,0.384018302148868,0.200179753247814
